pro_id	gene_id	pro_name	gene_name
A0A1B0GUS0	ENSG00000283567	CS085	C19orf85
A0A1B0GUS4	ENSG00000236444	UB2L5	UBE2L5
A0A1B0GUT2	ENSG00000237489	CJ143	C10orf143
A0A1B0GUU1	ENSG00000267221	CQ113	C17orf113
A0A1B0GUV1	ENSG00000262165	CQ114	C17orf114
A0A1B0GUV7	ENSG00000230601	TEX48	TEX48
A0A1B0GUW6	ENSG00000284090	SPEM3	SPEM3
A0A1B0GUW6	ENSG00000283439	SPEM3	SPEM3
A0A1B0GUW7	ENSG00000235453	SIM27	SMIM27
A0A1B0GUX0	ENSG00000272899	VAFNB	ATP6V1FNB
A0A1B0GUY1	ENSG00000248109	MRCOL	MARCOL
A0A1B0GV03	ENSG00000261649	GG6L7	GOLGA6L7
A0A1B0GV22	ENSG00000268994	F236B	FAM236B
A0A1B0GV85	ENSG00000250673	RELD1	REELD1
A0A1B0GV90	ENSG00000283324	CTXD2	CTXND2
A0A1B0GV96	ENSG00000277639	CHD9N	CHD9NB
A0A1B0GVD1	ENSG00000283267	F237B	FAM237B
A0A1B0GVG4	ENSG00000269720	CC194	CCDC194
A0A1B0GVG6	ENSG00000283268	TEX54	TEX54
A0A1B0GVH4	ENSG00000253649	PRS51	PRSS51
A0A1B0GVH6	ENSG00000226792	CM042	C13orf42
A0A1B0GVH7	ENSG00000234828	IQCM	IQCM
A0A1B0GVK7	ENSG00000283473	F240A	FAM240A
A0A1B0GVM5	ENSG00000283644	ETDC	ETDC
A0A1B0GVM6	ENSG00000257057	CK097	C11orf97
A0A1B0GVN3	ENSG00000228486	CB092	C2orf92
A0A1B0GVQ0	ENSG00000235387	SPAR	SPAAR
A0A1B0GVQ0-2	ENSG_SPAAR	SPAR	SPAAR
A0A1B0GVQ3	ENSG00000236383	CC200	CCDC200
A0A1B0GVR7	ENSG00000216921	F240C	FAM240C
A0A1B0GVS7	ENSG00000242120	MDFI2	MDFIC2
A0A1B0GVS7-2	ENSG_MDFIC2	MDFI2	MDFIC2
A0A1B0GVT2	ENSG00000261873	SIM36	SMIM36
A0A1B0GVV1	ENSG00000255274	SIM35	SMIM35
A0A1B0GVX0	ENSG00000283516	LITAD	LITAFD
A0A1B0GVY4	ENSG00000248771	SIM31	SMIM31
A0A1B0GVZ2	ENSG00000283329	F240B	FAM240B
A0A1B0GVZ6	ENSG00000196589	MB3LB	MBD3L2B
A0A1B0GVZ9	ENSG00000274386	TM269	TMEM269
A0A1B0GW35	ENSG00000250821	EXC1L	EXOC1L
A0A1B0GW54	ENSG00000284479	SIM39	SMIM39
A0A1B0GW64	ENSG00000288274	SIM33	SMIM33
A0A1B0GW64	ENSG00000283288	SIM33	SMIM33
A0A1B0GWB2	ENSG00000283526	PRT1B	PRRT1B
A0A1B0GWG4	ENSG00000260802	SRTM2	SERTM2
A0A1B0GWH4	ENSG00000283697	HSFX3	HSFX3
A0A1B0GWH6	ENSG00000263874	LSP1N	LASP1NB
A0A1B0GWK0	ENSG00000225180	PVLEF	PVALEF
A0A1B0GX31	ENSG00000211727	TVB76	TRBV7-6
A0A1B0GX49	ENSG00000211713	TVB64	TRBV6-4
A0A1B0GX51	ENSG00000282040	TVB78	TRBV7-8
A0A1B0GX56	ENSG00000211804	TRDV1	TRDV1
A0A1B0GX68	ENSG00000226660	TVB2	TRBV2
A0A1B0GX78	ENSG00000275158	TVBL5	TRBV12-5
A0A1B0GX95	ENSG00000253409	TVB74	TRBV7-4
A0A1B0GXF2	ENSG00000282506	TVB72	TRBV7-2
A0A1B0GXF2	ENSG00000282939	TVB72	TRBV7-2
A0A1W2PP81	ENSG00000284234	TFKL5	TAF11L5
A0A1W2PP97	ENSG00000284491	THSD8	THSD8
A0A1W2PPD8	ENSG00000255855	KDM4F	KDM4F
A0A1W2PPE2	ENSG00000284283	TFKL4	TAF11L4
A0A1W2PPE3	ENSG_C1orf202	CA202	C1orf202
A0A1W2PPF3	ENSG00000282757	DUXB	DUXB
A0A1W2PPG7	ENSG00000283980	GBG14	GNG14
A0A1W2PPH5	ENSG00000283776	TFLM	TAF11L13
A0A1W2PPK0	ENSG00000284484	CPHL2	CPHXL2
A0A1W2PPL8	ENSG00000250782	TFKLN	TAF11L14
A0A1W2PPM1	ENSG00000283755	CPHXL	CPHXL
A0A1W2PPW3	ENSG00000249156	TFKLL	TAF11L12
A0A1W2PQ09	ENSG00000283740	TFKLK	TAF11L11
A0A1W2PQ27	ENSG00000284438	S72L1	SSU72L1
A0A1W2PQ64	ENSG00000284018	S72L5	SSU72L5
A0A1W2PQ72	ENSG00000284024	MSD7	MSANTD7
A0A1W2PQ73	ENSG00000268041	ERFL	ERFL
A0A1W2PQC6	ENSG00000283873	S72L4	SSU72L4
