Sample_ID,Sex,Age,Gene_name,PRM,DIA
NCN008,female,43,DGAT2L6,537.5321655,131.945343
NCN008,female,43,DGLUCY,246.0703125,134.7694397
NCN008,female,43,TMEM179B,101.0009003,47.9463501
NCN008,female,43,STING1,195.4061737,58.341259
NCN008,female,43,AHNAK2,2392.172607,1094.133911
NCN008,female,43,CMTR1,4.722631454,26.90223122
NCN008,female,43,PTGR3,33.53660583,34.94610596
NCN008,female,43,DDB2,165.6446991,56.64092255
NCN008,female,43,ARL8A,135.1187286,240.2186584
NCN008,female,43,PTER,206.689743,52.33877182
NCN008,female,43,MMAB,188.9154663,89.40568542
NCN008,female,43,PDLIM2,677.28125,131.4251556
NCN008,female,43,HNRNPAB,439.3205261,333.0364075
NCN008,female,43,CPNE1,749.7371826,419.6055298
NCN008,female,43,TREX2,35.38050842,3.448431969
NCN008,female,43,AAMDC,172.3903046,79.8687439
NCN008,female,43,FN3KRP,124.3860626,44.52214813
NCN008,female,43,PLGRKT,228.7376556,75.7746048
NCN008,female,43,CZIB,94.1289978,24.35016251
NCN008,female,43,ERAP1,343.7067871,268.9343872
NCN008,female,43,COPG2,210.1655579,36.3722229
NCN008,female,43,NIPSNAP3A,328.8833008,308.6394348
NCN008,female,43,COG6,10.24427223,23.91061783
NCN008,female,43,CRYBG1,147.822113,279.6064453
NCN008,female,43,ATP6V1D,394.098999,126.2582703
NCN008,female,43,SQOR,779.755188,689.4724731
NCN009,female,50,FLNB,643.2918091,3301.318604
NCN009,female,50,NDUFB1,494.0693359,125.5306931
NCN009,female,50,H6PD,345.3494263,645.9491577
NCN009,female,50,F12,292.365509,129.8811646
NCN009,female,50,CSTA,7726.729004,5590.349609
NCN009,female,50,IGKC,69681.5,194.9199219
NCN009,female,50,IGHG3,1285.228271,1324.748901
NCN009,female,50,IGHM,2138.012451,2066.23584
NCN009,female,50,IGHA1,7412.505859,5414.29248
NCN009,female,50,HBD,5738.877441,2411.776367
NCN009,female,50,COL1A1,39019.39063,31956.63672
NCN009,female,50,KRT6A,3117.406738,55267.47656
NCN009,female,50,APOC1,1246.064453,281.4233093
NCN009,female,50,GBA1,380.3613892,227.1971283
NCN009,female,50,APOB,1996.313843,1470.080322
NCN009,female,50,KRT6B,2332.72998,16542.80859
NCN009,female,50,ARG1,2723.694824,576.1633301
NCN009,female,50,ALDH2,1433.054199,729.6105957
NCN009,female,50,POLB,3.812470913,33.03487778
NCN009,female,50,IVL,52.94194794,491.7717896
NCN009,female,50,RPSA,1810.716309,1913.24939
NCN009,female,50,LGALS1,10473.36035,2399.734619
NCN009,female,50,GSTM1,174.1343384,15.60154343
NCN009,female,50,GAA,356.3699341,227.6000671
NCN009,female,50,RALB,222.3876495,280.5412292
NCN009,female,50,COL6A3,48570.73438,16783.60547
NCN009,female,50,NQO1,40.43490601,10.32712936
NCN009,female,50,DSP,32936.67578,12927.13965
NCN009,female,50,FLNA,5510.251465,8006.012695
NCN009,female,50,TNXB,4507.310547,3048.63623
NCN009,female,50,FDXR,346.2434692,152.1467743
NCN009,female,50,PSMB9,201.0733795,72.03411865
NCN009,female,50,ATIC,525.4763794,427.2041321
NCN009,female,50,YWHAB,3465.198486,7858.404297
NCN009,female,50,PRDX2,2122.65918,856.0513306
NCN009,female,50,FBN1,5091.239746,3870.450928
NCN009,female,50,TIMP3,196.5875702,109.9795914
NCN009,female,50,GPX4,430.2974243,253.0128632
NCN009,female,50,TSFM,186.7927399,109.8226013
NCN009,female,50,ACADSB,63.47501373,111.4847107
NCN009,female,50,GSTM5,111.4171295,650.8981934
NCN009,female,50,LGALS7B,39223.72656,22446.5918
NCN009,female,50,LGALS7,39223.72656,22446.5918
NCN009,female,50,SERPINB8,793.3538208,967.3721924
NCN009,female,50,EPPK1,5256.659668,5595.54541
NCN009,female,50,S100A10,21029.58984,6260.638672
NCN009,female,50,RPS8,2413.294434,2500.815186
NCN009,female,50,RPS27A,505.2064514,7957.279785
NCN009,female,50,TUBB4B,9734.665039,15757.74219
NCN009,female,50,HBB,106974.7188,12331.48828
NCN009,female,50,PRKDC,338.5344543,520.182312
NCN009,female,50,HSPG2,776.236145,1803.032471
NCN009,female,50,SPTBN1,542.3605347,1145.184448
NCN009,female,50,AHNAK,6832.845703,4188.975586
NCN009,female,50,CNTN1,289.5150757,152.5962372
NCN009,female,50,SGCG,92.16588593,18.58547211
NCN009,female,50,STIM1,269.254303,68.14090729
NCN009,female,50,SPTAN1,1720.734985,2629.257813
NCN009,female,50,PKP1,19251.31445,15546.78125
NCN009,female,50,DYNC1H1,860.5698853,4447.454102
