pro_id,intensity,tissue
Q92934,18.8796335035197,lung
Q92934,18.8166886632065,thyroid
P28838,24.8643037439277,colon
P28838,24.6539613946568,heart
P28838,27.7487517859701,liver
P28838,26.6961547766749,lung
P28838,25.8718518397828,thyroid
P19801,21.2281049837974,colon
P19801,16.9121140281731,heart
P19801,13.1180942707297,thyroid
Q9Y6D9,18.1422271524321,colon
Q9Y6D9,22.2578455797588,heart
Q9Y6D9,23.037435744594,liver
Q9Y6D9,22.482224983099,lung
Q9Y6D9,21.1481457038991,thyroid
Q14847,25.8928780172313,colon
Q14847,24.0089511113833,heart
Q14847,26.1294746614392,liver
Q14847,26.5291576348879,lung
Q14847,25.5875369742356,thyroid
Q9Y5W9,15.5620058954962,liver
Q9Y5W9,16.2793067723579,lung
Q9Y5W9,14.4323426310191,thyroid
P20645,22.9380638512339,colon
P20645,22.3446637804047,heart
P20645,23.674902282473,liver
P20645,24.6016528578145,lung
P20645,22.9465526111407,thyroid
Q9P2N7,15.5926679629899,colon
Q9P2N7,15.4238814326657,lung
Q05084,20.4780562957667,heart
Q05084,17.8188375058187,liver
Q05084,18.629614831947,lung
Q96Q42,18.3842888349666,heart
Q96Q42,18.6438482996494,liver
Q96Q42,16.7742405795412,lung
Q96Q42,16.7870262746323,thyroid
Q92851,14.8008288025373,colon
Q92851,14.7582572787634,heart
Q92851,19.4277564013694,liver
Q92851,20.6750474924442,lung
Q92851,19.3935902123637,thyroid
O15519,13.7771063503971,colon
O15519,16.7536993150171,heart
O15519,12.2625232018423,liver
O15519,16.7094495323989,lung
O15519,15.4063629897693,thyroid
P10646,15.3994891240083,colon
P10646,18.7088496425151,liver
P10646,20.586424581376,lung
P10646,17.7826283423695,thyroid
Q7L592,18.1267026633067,colon
Q7L592,21.2127077482805,heart
Q7L592,21.3874939849193,liver
Q7L592,18.261969224084,lung
P52756,18.6098963433525,colon
P52756,14.8402245263693,heart
P52756,19.9045892634102,liver
P52756,20.3445764417071,lung
P52756,20.5741974232156,thyroid
P52569,21.5827355874516,liver
P84085,21.9100346343209,colon
P84085,19.7716710225378,heart
P84085,22.3300761493609,liver
P84085,22.5143354211131,lung
P84085,21.9591631352326,thyroid
Q6SZW1,20.3389543300453,colon
Q6SZW1,16.6135021668114,heart
Q6SZW1,14.8122779562084,liver
Q6SZW1,18.9918879618335,lung
Q6SZW1,17.0665040799293,thyroid
Q9Y2S7,20.2250650532808,colon
Q9Y2S7,21.7718752518757,heart
Q9Y2S7,23.3173796164877,liver
Q9Y2S7,20.9399170253196,lung
Q9Y2S7,20.2588505570357,thyroid
Q9Y4D7,16.0490823234363,heart
Q9Y4D7,19.0742318233195,liver
Q9Y4D7,21.4561525731384,lung
Q9Y4D7,18.3466395393446,thyroid
P54819,23.2638214776174,colon
P54819,25.3684136620129,heart
P54819,26.5927943870273,liver
P54819,24.3118913249541,lung
P54819,24.7448655488972,thyroid
P28907,16.5429213318152,colon
P28907,19.6337711774403,heart
P28907,20.6554777486101,liver
P28907,20.9368923190874,lung
P28907,21.561298182452,thyroid
Q02790,24.3125691365239,colon
Q02790,23.7228764530564,heart
Q02790,25.4746984478055,liver
Q02790,24.7002498264159,lung
Q02790,25.1582280141021,thyroid
O60341,20.1191010581555,colon
O60341,18.2301844458084,heart
O60341,20.668291412975,liver
O60341,21.748432054202,lung
O60341,21.579992088631,thyroid
P78332,18.6179280150975,colon
P78332,18.4045082530023,heart
P78332,20.6014914939628,liver
P78332,21.2832521188907,lung
P78332,19.5258187013009,thyroid
Q8N5S9,17.9962176884264,colon
Q8N5S9,14.0996766734395,heart
Q8N5S9,15.5917176638065,liver
Q8N5S9,17.9749346114613,thyroid
P46063,23.7213809106904,colon
P46063,22.6945590741371,heart
P46063,23.8588194093365,liver
P46063,24.7870971219526,lung
P46063,24.0283844155627,thyroid
Q96JG6,20.1506588379944,colon
Q96JG6,19.4414929080807,heart
Q96JG6,20.5240650912508,liver
Q96JG6,21.2581573591546,lung
Q96JG6,20.0742013886081,thyroid
O14558,26.7895400200458,colon
O14558,26.8431552581697,heart
O14558,21.5048483821187,liver
O14558,23.1280867259984,lung
O14558,22.3572526712005,thyroid
O14561,17.1217432519353,colon
O14561,24.1756715570352,heart
O14561,20.7582853640933,liver
O14561,17.45053402145,lung
O14561,16.7939905896462,thyroid
Q16654,19.3436590185093,colon
Q16654,22.4392637244292,heart
Q16654,19.2085275354136,liver
Q16654,18.454842654535,lung
Q16654,15.8734040813683,thyroid
O75800,14.8873848708972,lung
Q9UJS0,22.0560231494674,colon
Q9UJS0,21.6819478129855,heart
Q9UJS0,27.1890269917051,liver
Q9UJS0,22.3637546399335,lung
Q9UJS0,22.593984439417,thyroid
Q9NRC1,14.3944962619409,colon
Q9NRC1,13.8388070316237,heart
Q9NRC1,18.1934281309669,liver
Q9NRC1,17.2185069076994,lung
