names1,names2,names3
NC269SP,[109] 269_S3-C7_1_9607.d.PG.Quantity,269_S3-C7_1_9607.d.PG.Quantity
NC270SP,[111] 270_S3-C8_1_9608.d.PG.Quantity,270_S3-C8_1_9608.d.PG.Quantity
NC271SP,[112] 271_S3-C9_1_9609.d.PG.Quantity,271_S3-C9_1_9609.d.PG.Quantity
NC274SP,[113] 274_S3-C10_1_9610.d.PG.Quantity,274_S3-C10_1_9610.d.PG.Quantity
NC275SP,[114] 275_S3-C11_1_9611.d.PG.Quantity,275_S3-C11_1_9611.d.PG.Quantity
NC278SP,[115] 278_S3-C12_1_9612.d.PG.Quantity,278_S3-C12_1_9612.d.PG.Quantity
NC281SP,[116] 281_S2-A1_1_9615.d.PG.Quantity,281_S2-A1_1_9615.d.PG.Quantity
NC282SP,[117] 282_S2-A2_1_9616.d.PG.Quantity,282_S2-A2_1_9616.d.PG.Quantity
NC283SP,[118] 283_S2-A3_1_9617.d.PG.Quantity,283_S2-A3_1_9617.d.PG.Quantity
NC284SP,[119] 284_S2-A4_1_9618.d.PG.Quantity,284_S2-A4_1_9618.d.PG.Quantity
NC285SP,[120] 285_S2-A5_1_9619.d.PG.Quantity,285_S2-A5_1_9619.d.PG.Quantity
NC286SP,[121] 286_S2-A6_1_9620.d.PG.Quantity,286_S2-A6_1_9620.d.PG.Quantity
NC288SP,[122] 288_S2-A7_1_9621.d.PG.Quantity,288_S2-A7_1_9621.d.PG.Quantity
NC289SP,[123] 289_S2-A8_1_9622.d.PG.Quantity,289_S2-A8_1_9622.d.PG.Quantity
NC290SP,[125] 290_S2-A9_1_9623.d.PG.Quantity,290_S2-A9_1_9623.d.PG.Quantity
NC291SP,[126] 291_S2-A10_1_9624.d.PG.Quantity,291_S2-A10_1_9624.d.PG.Quantity
NC292SP,[127] 292_S2-A11_1_9625.d.PG.Quantity,292_S2-A11_1_9625.d.PG.Quantity
NC293SP,[128] 293_S2-A12_1_9626.d.PG.Quantity,293_S2-A12_1_9626.d.PG.Quantity
NC295SP,[129] 295_S2-B1_1_9628.d.PG.Quantity,295_S2-B1_1_9628.d.PG.Quantity
NC298SP,[130] 298_S2-B2_1_9629.d.PG.Quantity,298_S2-B2_1_9629.d.PG.Quantity
NC301SP,[131] 301_S2-B3_1_9630.d.PG.Quantity,301_S2-B3_1_9630.d.PG.Quantity
NC304SP,[132] 304_S2-B4_1_9631.d.PG.Quantity,304_S2-B4_1_9631.d.PG.Quantity
NC305SP,[133] 305_S2-B5_1_9632.d.PG.Quantity,305_S2-B5_1_9632.d.PG.Quantity
